job_clean,skills,count,importance
Search Engine Optimization Analyst,python,1,0.043478260869565216
Senior Actuarial Analyst,communication,5,0.3333333333333333
Senior Actuarial Analyst,excel,5,0.3333333333333333
Senior Actuarial Analyst,management,3,0.2
Senior Actuarial Analyst,sql,2,0.13333333333333333
Senior Analyst,azure,3,0.10344827586206896
Senior Analyst,communication,5,0.1724137931034483
Senior Analyst,excel,5,0.1724137931034483
Senior Analyst,java,3,0.10344827586206896
Senior Analyst,machine learning,3,0.10344827586206896
Senior Analyst,management,4,0.13793103448275862
Senior Analyst,python,3,0.10344827586206896
Senior Analyst,sql,3,0.10344827586206896
Senior Automation Tester,aws,35,0.07592190889370933
Senior Automation Tester,azure,19,0.04121475054229935
Senior Automation Tester,communication,57,0.12364425162689804
Senior Automation Tester,docker,31,0.06724511930585683
Senior Automation Tester,excel,11,0.02386117136659436
Senior Automation Tester,gcp,4,0.008676789587852495
Senior Automation Tester,java,63,0.13665943600867678
Senior Automation Tester,javascript,57,0.12364425162689804
Senior Automation Tester,kubernetes,7,0.015184381778741865
Senior Automation Tester,management,24,0.052060737527114966
Senior Automation Tester,node,36,0.07809110629067245
Senior Automation Tester,python,60,0.1301518438177874
Senior Automation Tester,react,24,0.052060737527114966
Senior Automation Tester,sap,8,0.01735357917570499
Senior Automation Tester,sql,25,0.05422993492407809
Senior Business Analyst,aws,3,0.023076923076923078
Senior Business Analyst,communication,28,0.2153846153846154
Senior Business Analyst,excel,22,0.16923076923076924
Senior Business Analyst,gcp,1,0.007692307692307693
Senior Business Analyst,java,3,0.023076923076923078
Senior Business Analyst,management,26,0.2
Senior Business Analyst,power bi,5,0.038461538461538464
Senior Business Analyst,python,7,0.05384615384615385
Senior Business Analyst,react,3,0.023076923076923078
Senior Business Analyst,recruitment,1,0.007692307692307693
Senior Business Analyst,salesforce,6,0.046153846153846156
Senior Business Analyst,sap,2,0.015384615384615385
Senior Business Analyst,snowflake,2,0.015384615384615385
Senior Business Analyst,sql,15,0.11538461538461539
Senior Business Analyst,tableau,6,0.046153846153846156
Senior Consultant,aws,3,0.2
Senior Consultant,communication,2,0.13333333333333333
Senior Consultant,excel,1,0.06666666666666667
Senior Consultant,java,4,0.26666666666666666
Senior Consultant,management,1,0.06666666666666667
Senior Consultant,react,3,0.2
Senior Consultant,sql,1,0.06666666666666667
Senior Research Analyst,communication,4,0.4
Senior Research Analyst,excel,3,0.3
Senior Research Analyst,management,3,0.3
Senior Scrum Master,azure,6,0.16666666666666666
Senior Scrum Master,communication,6,0.16666666666666666
Senior Scrum Master,excel,6,0.16666666666666666
Senior Scrum Master,java,6,0.16666666666666666
Senior Scrum Master,management,9,0.25
Senior Scrum Master,sap,3,0.08333333333333333
Software Developer,java,1013,0.32730210016155087
Software Developer,javascript,675,0.21809369951534732
Software Developer,node,206,0.06655896607431341
Software Developer,python,543,0.1754442649434572
Software Developer,react,658,0.21260096930533118
Software Engineer,docker,195,0.14233576642335766
Software Engineer,java,699,0.5102189781021897
Software Engineer,kubernetes,159,0.11605839416058394
Software Engineer,python,317,0.23138686131386862
Team Lead Automation Tester,java,6,1.0
Team Lead Scrum Master,communication,5,0.3333333333333333
Team Lead Scrum Master,excel,5,0.3333333333333333
Team Lead Scrum Master,management,5,0.3333333333333333
Technical Business Analyst,communication,11,0.28205128205128205
Technical Business Analyst,excel,7,0.1794871794871795
Technical Business Analyst,java,2,0.05128205128205128
Technical Business Analyst,management,2,0.05128205128205128
Technical Business Analyst,node,2,0.05128205128205128
Technical Business Analyst,python,2,0.05128205128205128
Technical Business Analyst,react,5,0.1282051282051282
Technical Business Analyst,sql,5,0.1282051282051282
Technical Business Analyst,tableau,3,0.07692307692307693
Technical Lead,azure,1,0.024390243902439025
Technical Lead,communication,2,0.04878048780487805
Technical Lead,docker,2,0.04878048780487805
Technical Lead,excel,5,0.12195121951219512
Technical Lead,gcp,1,0.024390243902439025
Technical Lead,java,6,0.14634146341463414
Technical Lead,javascript,4,0.0975609756097561
Technical Lead,kubernetes,2,0.04878048780487805
Technical Lead,management,4,0.0975609756097561
Technical Lead,nlp,1,0.024390243902439025
Technical Lead,node,3,0.07317073170731707
Technical Lead,python,1,0.024390243902439025
Technical Lead,react,2,0.04878048780487805
Technical Lead,sql,7,0.17073170731707318
Technician Team Lead,aws,5,0.16666666666666666
Technician Team Lead,docker,5,0.16666666666666666
Technician Team Lead,java,5,0.16666666666666666
Technician Team Lead,python,5,0.16666666666666666
Technician Team Lead,react,5,0.16666666666666666
Technician Team Lead,spark,5,0.16666666666666666
Vuejs,java,3,0.3333333333333333
Vuejs,javascript,3,0.3333333333333333
Vuejs,react,3,0.3333333333333333
Web Development Intern,excel,1,0.09090909090909091
Web Development Intern,java,3,0.2727272727272727
Web Development Intern,javascript,3,0.2727272727272727
Web Development Intern,node,2,0.18181818181818182
Web Development Intern,python,1,0.09090909090909091
Web Development Intern,sql,1,0.09090909090909091
